Order_ID,Order_Date_ID,Delivery_Date_ID,Delivery_Days,Car_ID,Customer_ID,Region,Country,Dealer,Sales_Rep,Customer_Type,Order_Channel,Payment_Method,Discount_Pct,Final_Price_USD,Is_Certified_Pre_Owned,Mileage_At_Sale,Warranty_Years,Customer_Satisfaction_Score,Units_Sold
1920,20240528,20240811,75,CAR00004,CUST002694,Asia Pacific,Australia,BMW Melbourne,Wei Kim,Individual,Online Configurator,Lease,0.0,123100.0,False,0,4,4.1,1
1921,20260426,20260608,43,CAR00257,CUST003507,Europe,France,BMW Lyon,Julia Kim,Individual,Online Configurator,Lease,3.01,129772.62,False,0,4,3.9,1
1922,20260610,20260903,85,CAR01105,CUST000974,Rest of World,South Africa,BMW Johannesburg,Anna Nakamura,Individual,Dealership Walk-in,Cash,3.03,128776.16,False,0,4,4.4,1
1923,20250911,20260102,113,CAR01128,CUST001217,Europe,Italy,BMW Milano,Anna Zhang,Individual,Dealership Walk-in,Manufacturer Finance,2.39,123476.65,False,0,4,4.3,1
1924,20241001,20241227,87,CAR01250,CUST000799,Asia Pacific,China,BMW Beijing Chaoyang,Nina Cohen,Individual,Referral,Bank Loan,3.55,118537.05,False,0,4,4.4,1
1925,20220413,20220428,15,CAR00432,CUST000427,North America,Canada,BMW Vancouver,Sophie Park,Individual,Online Configurator,Bank Loan,3.31,96109.86,False,0,4,4.3,1
1926,20260419,20260610,52,CAR00158,CUST002793,North America,Mexico,BMW Guadalajara,Anna Weber,Corporate Fleet,Online Configurator,Lease,2.92,73198.32,False,0,4,4.3,1
1927,20230519,20230818,91,CAR01251,CUST000644,North America,USA,BMW of Austin,Olivia Silva,Individual,Dealership Walk-in,Manufacturer Finance,1.96,78628.08,False,0,4,4.6,1
1928,20231206,20240401,117,CAR01252,CUST003777,North America,USA,BMW of Manhattan,Anna Khan,Individual,Referral,Lease,0.25,66832.5,False,0,4,4.8,1
1929,20231017,20240120,95,CAR00097,CUST003351,Asia Pacific,Australia,BMW Melbourne,Felix Garcia,Individual,Dealership Walk-in,Lease,5.4,137548.4,False,0,4,5.0,1
1930,20251014,20260130,108,CAR00149,CUST000841,Asia Pacific,Japan,BMW Tokyo Minato,Elena Cohen,Individual,Online Configurator,Lease,3.97,89980.11,False,0,4,4.1,1
1931,20220315,20220704,111,CAR00459,CUST003855,Middle East,Qatar,BMW Doha,Karim Cohen,Lease Return Buyout,Auto Show Event,Lease,3.49,95737.92,False,0,4,4.0,1
1932,20230122,20230517,115,CAR00067,CUST000015,North America,USA,BMW of Manhattan,Daniel Kim,Individual,Dealership Walk-in,Lease,2.02,119829.54,False,0,4,4.8,1
1933,20220407,20220601,55,CAR00181,CUST001756,Asia Pacific,China,BMW Beijing Chaoyang,Olivia Hassan,Individual,Dealership Walk-in,Lease,5.4,74544.8,False,0,4,4.6,1
1934,20240427,20240528,31,CAR01253,CUST003531,Asia Pacific,South Korea,BMW Seoul Gangnam,Sophie Park,Corporate Fleet,Dealership Walk-in,Lease,1.92,90724.0,False,0,4,4.5,1
1935,20220718,20220818,31,CAR00638,CUST002532,Europe,United Kingdom,Park Lane BMW London,Daniel Kim,Corporate Fleet,Auto Show Event,Manufacturer Finance,3.16,94322.16,False,0,4,4.2,1
1936,20240127,20240425,89,CAR01254,CUST002598,North America,USA,BMW of Miami,Daniel Silva,Individual,Dealership Walk-in,Lease,0.0,138700.0,False,0,4,4.3,1
1937,20240616,20240826,71,CAR00101,CUST001635,Middle East,Saudi Arabia,BMW Riyadh,Laura Silva,Individual,Referral,Lease,1.9,144697.5,False,0,4,4.6,1
1938,20260529,20260802,65,CAR00522,CUST000579,North America,Mexico,BMW Polanco,Omar Tanaka,Individual,Dealership Walk-in,Lease,2.06,74924.1,False,0,4,4.5,1
1939,20230801,20230907,37,CAR00597,CUST000586,North America,USA,BMW of Austin,Ahmed Cohen,Individual,Dealership Walk-in,Cash,1.36,143422.56,False,0,4,4.1,1
1940,20250516,20250823,99,CAR00227,CUST000722,Asia Pacific,Japan,BMW Osaka,Wei Murphy,Individual,Online Configurator,Bank Loan,2.82,84643.78,False,0,4,4.7,1
1941,20221029,20221209,41,CAR00472,CUST003050,Rest of World,Brazil,BMW São Paulo,Maria Zhang,Individual,Referral,Cash,0.0,100400.0,False,0,4,4.5,1
1942,20231229,20240416,109,CAR01255,CUST001105,Asia Pacific,Australia,BMW Melbourne,Noah Andersson,Individual,Dealership Walk-in,Lease,4.05,145939.95,False,0,4,3.3,1
1943,20220709,20220822,44,CAR00191,CUST000222,Europe,United Kingdom,Park Lane BMW London,Elena Ivanov,Lease Return Buyout,Auto Show Event,Lease,0.0,65300.0,False,0,4,4.6,1
1944,20251122,20251224,32,CAR00677,CUST000757,Asia Pacific,Japan,BMW Osaka,Mia Müller,Individual,Online Configurator,Manufacturer Finance,1.91,88084.82,False,0,4,4.5,1
1945,20250108,20250318,69,CAR00656,CUST001995,Europe,United Kingdom,Park Lane BMW London,Anna Khan,Certified Pre-Owned Trade-In,Dealership Walk-in,Lease,0.33,126680.57,True,34069,4,4.3,1
1946,20231208,20231229,21,CAR01256,CUST003165,Middle East,Qatar,BMW Doha,Anna Nakamura,Individual,Dealership Walk-in,Manufacturer Finance,2.89,135565.56,False,0,4,4.9,1
1947,20220131,20220324,52,CAR00445,CUST001181,Europe,France,BMW Paris Champs-Élysées,Ravi Rossi,Corporate Fleet,Fleet Program,Lease,4.15,97191.9,False,0,4,4.9,1
1948,20220723,20221028,97,CAR00760,CUST003823,Asia Pacific,Japan,BMW Osaka,Wei Silva,Lease Return Buyout,Fleet Program,Lease,3.94,136885.5,False,0,4,5.0,1
1949,20241124,20250211,79,CAR01257,CUST002625,Europe,Switzerland,BMW Zürich,Karim Ivanov,Individual,Dealership Walk-in,Manufacturer Finance,7.04,83385.12,False,0,4,5.0,1
1950,20250918,20251211,84,CAR01258,CUST001666,Asia Pacific,South Korea,BMW Seoul Gangnam,Wei Kim,Certified Pre-Owned Trade-In,Online Configurator,Lease,0.64,75811.68,True,7122,4,4.3,1
1951,20240912,20241220,99,CAR00526,CUST002593,North America,USA,BMW of Miami,Julia Kim,Individual,Dealership Walk-in,Manufacturer Finance,1.03,92339.01,False,0,4,4.6,1
1952,20230524,20230703,40,CAR01256,CUST000946,Middle East,Saudi Arabia,BMW Riyadh,David Andersson,Individual,Dealership Walk-in,Lease,1.94,132381.0,False,0,4,4.0,1
1953,20241203,20250126,54,CAR00775,CUST003339,Asia Pacific,China,BMW Shanghai Jing'an,David Andersson,Individual,Dealership Walk-in,Bank Loan,5.88,86966.88,False,0,4,5.0,1
1954,20251127,20260118,52,CAR01259,CUST001157,North America,USA,BMW of Manhattan,Anna Khan,Corporate Fleet,Dealership Walk-in,Bank Loan,4.33,83041.56,False,0,4,4.8,1
1955,20260509,20260812,95,CAR01260,CUST003364,North America,Canada,BMW Toronto,Laura Nakamura,Individual,Auto Show Event,Bank Loan,5.67,89990.82,False,0,4,5.0,1
1956,20220509,20220822,105,CAR01261,CUST003503,Middle East,Qatar,BMW Doha,Karim Ivanov,Corporate Fleet,Dealership Walk-in,Lease,0.0,160500.0,False,0,4,4.8,1
1957,20260124,20260410,76,CAR00338,CUST002082,North America,Canada,BMW Vancouver,David Rossi,Individual,Fleet Program,Bank Loan,1.52,68936.0,False,0,4,4.5,1
1958,20260209,20260520,100,CAR01262,CUST002619,North America,Mexico,BMW Polanco,David Tanaka,Individual,Referral,Lease,1.64,134949.92,False,0,4,4.1,1
1959,20251117,20251209,22,CAR00068,CUST000894,North America,USA,BMW of Austin,Nina Silva,Certified Pre-Owned Trade-In,Fleet Program,Lease,0.0,89700.0,True,30579,4,4.5,1
1960,20250226,20250312,14,CAR00743,CUST003589,Asia Pacific,Singapore,Performance Motors Singapore,Karim Ivanov,Individual,Dealership Walk-in,Manufacturer Finance,2.58,117488.52,False,0,4,4.3,1
1961,20250409,20250618,70,CAR00344,CUST003432,Asia Pacific,China,BMW Beijing Chaoyang,Mia Nakamura,Individual,Auto Show Event,Bank Loan,5.28,83732.48,False,0,4,4.3,1
1962,20230119,20230511,112,CAR00416,CUST002963,Asia Pacific,Australia,BMW Sydney,David Andersson,Individual,Online Configurator,Bank Loan,2.95,144895.65,False,0,4,5.0,1
1963,20231219,20240414,117,CAR01263,CUST002319,Europe,France,BMW Paris Champs-Élysées,Karim Murphy,Lease Return Buyout,Dealership Walk-in,Bank Loan,1.72,129336.48,False,0,4,4.7,1
1964,20250919,20251117,59,CAR00106,CUST001028,North America,Mexico,BMW Polanco,Karim Cohen,Individual,Referral,Bank Loan,3.32,123557.04,False,0,4,4.3,1
1965,20220306,20220424,49,CAR01264,CUST002192,Europe,United Kingdom,Park Lane BMW London,Wei Murphy,Individual,Fleet Program,Manufacturer Finance,1.45,112938.3,False,0,4,4.4,1
1966,20240316,20240514,59,CAR01265,CUST000898,Asia Pacific,China,BMW Shanghai Jing'an,Mia Nakamura,Individual,Online Configurator,Bank Loan,2.66,134037.18,False,0,4,4.3,1
1967,20221027,20230113,78,CAR00346,CUST002759,Europe,France,BMW Lyon,Laura Nakamura,Individual,Online Configurator,Cash,3.07,161388.45,False,0,4,4.8,1
1968,20250117,20250412,85,CAR01266,CUST003102,Europe,Spain,BMW Barcelona,Tom Tanaka,Individual,Dealership Walk-in,Lease,0.0,97000.0,False,0,4,4.3,1
1969,20230919,20231124,66,CAR00916,CUST000730,Europe,Netherlands,BMW Amsterdam,Felix Garcia,Individual,Dealership Walk-in,Cash,5.9,77162.0,False,0,4,4.4,1
1970,20260303,20260402,30,CAR01267,CUST003498,Asia Pacific,Australia,BMW Melbourne,Elena Ivanov,Individual,Online Configurator,Bank Loan,2.68,137999.76,False,0,4,5.0,1
1971,20250916,20251006,20,CAR00095,CUST003096,Asia Pacific,Australia,BMW Melbourne,Emma Al-Farsi,Corporate Fleet,Auto Show Event,Lease,3.87,142656.92,False,0,4,4.0,1
1972,20250607,20250727,50,CAR00258,CUST000375,Europe,United Kingdom,BMW Manchester,Nina Andersson,Individual,Dealership Walk-in,Manufacturer Finance,8.69,101354.1,False,0,4,5.0,1
1973,20221211,20221225,14,CAR00744,CUST000429,North America,Mexico,BMW Guadalajara,Nina Hassan,Individual,Online Configurator,Lease,0.0,141800.0,False,0,4,4.9,1
1974,20240322,20240505,44,CAR00817,CUST001022,Asia Pacific,Singapore,Performance Motors Singapore,David Rossi,Individual,Auto Show Event,Bank Loan,1.46,73018.14,False,0,4,4.0,1
1975,20260531,20260616,16,CAR00223,CUST002041,North America,USA,BMW of Austin,Marco Schmidt,Individual,Dealership Walk-in,Bank Loan,1.27,75034.8,False,0,4,4.9,1
1976,20250408,20250601,54,CAR00297,CUST001253,Europe,France,BMW Lyon,Elena Ivanov,Individual,Online Configurator,Lease,1.21,90195.27,False,0,4,4.3,1
1977,20240508,20240903,118,CAR00949,CUST001553,Asia Pacific,South Korea,BMW Seoul Gangnam,Noah Zhang,Individual,Dealership Walk-in,Bank Loan,1.31,90103.97,False,0,4,4.0,1
1978,20231028,20231121,24,CAR01268,CUST002733,Europe,Germany,BMW Niederlassung München,Lucas Khan,Individual,Online Configurator,Lease,7.09,69868.32,False,0,4,4.5,1
1979,20240913,20240928,15,CAR00711,CUST000983,North America,USA,BMW of Austin,Tom Andersson,Corporate Fleet,Online Configurator,Bank Loan,0.78,154485.54,False,0,4,4.1,1
1980,20240414,20240429,15,CAR01058,CUST000871,Europe,United Kingdom,Park Lane BMW London,Tom Tanaka,Individual,Dealership Walk-in,Cash,3.41,62493.73,False,0,4,4.6,1
1981,20250915,20251018,33,CAR00309,CUST002316,North America,Canada,BMW Toronto,Nina Silva,Individual,Dealership Walk-in,Manufacturer Finance,6.61,81062.52,False,0,4,4.5,1
1982,20230403,20230629,87,CAR01269,CUST001868,Europe,France,BMW Lyon,Ahmed Cohen,Corporate Fleet,Auto Show Event,Lease,5.61,90425.62,False,0,4,4.2,1
1983,20251005,20260111,98,CAR01270,CUST002487,Asia Pacific,Singapore,Performance Motors Singapore,Elena Zhang,Individual,Dealership Walk-in,Lease,0.67,152769.54,False,0,4,4.3,1
1984,20250528,20250823,87,CAR01271,CUST001964,Asia Pacific,China,BMW Beijing Chaoyang,Mia Nakamura,Individual,Auto Show Event,Bank Loan,8.28,72733.96,False,0,4,4.5,1
1985,20251026,20251222,57,CAR01272,CUST001382,North America,Canada,BMW Toronto,Wei Murphy,Lease Return Buyout,Auto Show Event,Lease,2.47,95774.46,False,0,4,5.0,1
1986,20220210,20220413,62,CAR00857,CUST003433,North America,Canada,BMW Vancouver,Noah Zhang,Individual,Dealership Walk-in,Lease,0.2,104989.6,False,0,4,5.0,1
1987,20230905,20231013,38,CAR01273,CUST001068,Europe,Italy,BMW Milano,Ahmed Silva,Individual,Dealership Walk-in,Lease,5.25,83948.5,False,0,4,4.9,1
1988,20220718,20221016,90,CAR00643,CUST000112,Europe,Italy,BMW Milano,Felix Dubois,Corporate Fleet,Dealership Walk-in,Lease,0.2,151995.4,False,0,4,4.0,1
1989,20220315,20220412,28,CAR00451,CUST003089,Middle East,Qatar,BMW Doha,Wei Khan,Individual,Online Configurator,Cash,0.0,126100.0,False,0,4,3.4,1
1990,20250319,20250509,51,CAR00087,CUST001942,North America,USA,BMW of Austin,Sophie Park,Lease Return Buyout,Online Configurator,Manufacturer Finance,4.73,75072.76,False,0,4,4.0,1
1991,20230227,20230513,75,CAR00374,CUST000133,Rest of World,Brazil,BMW São Paulo,Wei Silva,Lease Return Buyout,Online Configurator,Manufacturer Finance,2.07,75699.89,False,0,4,3.6,1
1992,20250103,20250302,58,CAR00673,CUST001975,Asia Pacific,South Korea,BMW Seoul Gangnam,Wei Weber,Individual,Online Configurator,Bank Loan,1.16,92810.76,False,0,4,4.9,1
1993,20260613,20260906,85,CAR01274,CUST003735,Asia Pacific,Singapore,Performance Motors Singapore,Elena Al-Farsi,Individual,Online Configurator,Bank Loan,3.72,140279.96,False,0,4,4.6,1
1994,20221025,20221231,67,CAR00049,CUST001529,North America,Canada,BMW Toronto,Nina Tanaka,Individual,Online Configurator,Lease,0.0,83500.0,False,0,4,3.4,1
1995,20250319,20250517,59,CAR00071,CUST001193,Asia Pacific,Singapore,Performance Motors Singapore,Karim Cohen,Corporate Fleet,Referral,Lease,2.58,150513.9,False,0,4,4.8,1
1996,20231001,20231202,62,CAR00722,CUST000350,Asia Pacific,South Korea,BMW Seoul Gangnam,Wei Andersson,Lease Return Buyout,Dealership Walk-in,Lease,1.34,82479.76,False,0,4,4.5,1
1997,20240616,20240730,44,CAR00173,CUST001519,Europe,United Kingdom,BMW Manchester,Wei Silva,Certified Pre-Owned Trade-In,Dealership Walk-in,Lease,3.8,90043.2,True,37606,4,5.0,1
1998,20241019,20250106,79,CAR01275,CUST001574,North America,USA,BMW of Miami,Wei Kim,Certified Pre-Owned Trade-In,Dealership Walk-in,Bank Loan,5.51,163845.66,True,13821,4,3.8,1
1999,20260326,20260612,78,CAR01276,CUST000175,North America,USA,BMW of Miami,Lucas Kim,Individual,Online Configurator,Lease,0.67,137671.38,False,0,4,5.0,1
2000,20220605,20220908,95,CAR01277,CUST002773,North America,USA,Chicago M Motors,Wei Kim,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,2.28,134169.56,False,0,4,4.2,1
2001,20241230,20250402,93,CAR00765,CUST002618,Middle East,Qatar,BMW Doha,Ravi Rossi,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,3.32,111858.76,False,0,4,4.3,1
2002,20240927,20250112,107,CAR00725,CUST003846,Europe,Switzerland,BMW Zürich,Noah Zhang,Individual,Referral,Bank Loan,1.45,97367.4,False,0,4,5.0,1
2003,20230312,20230619,99,CAR00413,CUST001250,Europe,Germany,BMW Niederlassung München,Elena Ivanov,Individual,Dealership Walk-in,Bank Loan,2.14,148355.76,False,0,4,4.2,1
2004,20220128,20220412,74,CAR01278,CUST003672,Europe,Spain,BMW Madrid Norte,Wei Khan,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,3.33,124220.95,False,0,4,4.8,1
2005,20240118,20240221,34,CAR00069,CUST001572,Europe,United Kingdom,BMW Manchester,Mia Nakamura,Individual,Fleet Program,Cash,7.33,81271.59,False,0,4,5.0,1
2006,20230809,20231201,114,CAR00254,CUST003581,Middle East,UAE,BMW Abu Dhabi,Nina Hassan,Individual,Dealership Walk-in,Lease,3.04,80379.84,False,0,4,3.5,1
2007,20230819,20231116,89,CAR01279,CUST002376,North America,USA,Chicago M Motors,Elena Zhang,Individual,Dealership Walk-in,Manufacturer Finance,3.17,153959.7,False,0,4,4.5,1
2008,20241113,20241210,27,CAR00500,CUST003455,North America,Canada,BMW Vancouver,Daniel Silva,Individual,Referral,Bank Loan,5.19,72245.22,False,0,4,4.6,1
2009,20240903,20241217,105,CAR00792,CUST000939,North America,USA,South Bay BMW,Julia Nakamura,Individual,Dealership Walk-in,Lease,3.16,148068.36,False,0,4,4.7,1
2010,20240828,20241123,87,CAR01280,CUST000275,Asia Pacific,South Korea,BMW Seoul Gangnam,Karim Ivanov,Individual,Dealership Walk-in,Bank Loan,4.31,88513.25,False,0,4,5.0,1
2011,20221226,20230420,115,CAR01179,CUST001482,Europe,Switzerland,BMW Zürich,Wei Andersson,Certified Pre-Owned Trade-In,Online Configurator,Lease,5.85,87371.2,True,9402,4,3.8,1
2012,20241005,20250115,102,CAR00969,CUST003556,Asia Pacific,South Korea,BMW Seoul Gangnam,Wei Murphy,Individual,Referral,Cash,0.0,136000.0,False,0,4,4.4,1
2013,20241007,20241109,33,CAR01231,CUST003082,Middle East,UAE,BMW Abu Dhabi,Julia Nakamura,Lease Return Buyout,Online Configurator,Bank Loan,0.0,74100.0,False,0,4,5.0,1
2014,20240530,20240614,15,CAR00839,CUST000957,North America,USA,South Bay BMW,David Rossi,Certified Pre-Owned Trade-In,Referral,Lease,0.0,75500.0,True,30218,4,4.7,1
2015,20250520,20250714,55,CAR00241,CUST000048,North America,Mexico,BMW Guadalajara,Wei Weber,Individual,Dealership Walk-in,Cash,3.85,119418.3,False,0,4,3.9,1
2016,20241111,20250206,87,CAR00160,CUST003285,North America,USA,BMW of Manhattan,Wei Silva,Individual,Dealership Walk-in,Lease,0.0,115700.0,False,0,4,4.4,1
2017,20240130,20240419,80,CAR00175,CUST002674,Europe,Italy,BMW Milano,Olivia Silva,Individual,Online Configurator,Cash,1.05,80842.15,False,0,4,4.6,1
2018,20250216,20250408,51,CAR01143,CUST002907,Asia Pacific,Australia,BMW Sydney,Wei Andersson,Individual,Dealership Walk-in,Manufacturer Finance,2.71,144962.1,False,0,4,4.4,1
2019,20240523,20240808,77,CAR00649,CUST000353,North America,Canada,BMW Toronto,Ahmed Silva,Corporate Fleet,Auto Show Event,Lease,0.81,88576.67,False,0,4,4.5,1
2020,20260330,20260706,98,CAR01281,CUST003182,North America,USA,South Bay BMW,Chen Müller,Corporate Fleet,Referral,Manufacturer Finance,2.28,95472.44,False,0,4,5.0,1
2021,20250321,20250405,15,CAR00292,CUST000166,Europe,Spain,BMW Barcelona,Karim Cohen,Individual,Online Configurator,Manufacturer Finance,1.24,112092.6,False,0,4,4.2,1
2022,20250809,20250831,22,CAR01282,CUST001897,Middle East,Saudi Arabia,BMW Riyadh,Tom Silva,Individual,Fleet Program,Bank Loan,2.4,134688.0,False,0,4,4.6,1
2023,20240317,20240501,45,CAR00230,CUST003513,Europe,Germany,BMW Niederlassung München,Julia Kim,Individual,Online Configurator,Bank Loan,0.54,73202.56,False,0,4,4.2,1
2024,20250518,20250610,23,CAR01283,CUST001660,North America,Mexico,BMW Guadalajara,Nina Andersson,Individual,Dealership Walk-in,Manufacturer Finance,0.0,157300.0,False,0,4,4.4,1
2025,20220325,20220514,50,CAR01284,CUST002105,Europe,Italy,BMW Milano,Chen Müller,Individual,Dealership Walk-in,Cash,2.05,91485.3,False,0,4,4.3,1
2026,20250925,20251010,15,CAR00770,CUST002348,Asia Pacific,Japan,BMW Osaka,Emma Al-Farsi,Individual,Dealership Walk-in,Bank Loan,6.05,64825.5,False,0,4,4.2,1
2027,20220519,20220906,110,CAR01285,CUST001800,Rest of World,South Africa,BMW Johannesburg,Elena Cohen,Individual,Online Configurator,Lease,0.0,190500.0,False,0,4,4.5,1
2028,20260403,20260505,32,CAR00917,CUST003276,North America,USA,Chicago M Motors,Marco Schmidt,Corporate Fleet,Online Configurator,Lease,3.93,73685.69,False,0,4,4.6,1
2029,20230318,20230604,78,CAR01286,CUST002311,North America,USA,BMW of Miami,Julia Cohen,Certified Pre-Owned Trade-In,Online Configurator,Manufacturer Finance,4.64,83249.28,True,33143,4,3.7,1
2030,20220221,20220511,79,CAR01016,CUST002534,North America,Mexico,BMW Polanco,Chen Müller,Individual,Online Configurator,Lease,1.29,150730.17,False,0,4,4.3,1
2031,20260311,20260412,32,CAR00179,CUST001582,Europe,Switzerland,BMW Zürich,Mia Müller,Individual,Online Configurator,Manufacturer Finance,1.08,124639.2,False,0,4,4.0,1
2032,20250726,20250902,38,CAR01287,CUST001873,Rest of World,Brazil,BMW São Paulo,Chen Müller,Individual,Online Configurator,Manufacturer Finance,1.2,119350.4,False,0,4,4.3,1
2033,20240519,20240820,93,CAR01288,CUST000817,Asia Pacific,Australia,BMW Sydney,Noah Zhang,Individual,Dealership Walk-in,Lease,0.0,79200.0,False,0,4,4.7,1
2034,20260625,20261017,114,CAR01289,CUST000727,Asia Pacific,China,BMW Shanghai Jing'an,Lucas Khan,Individual,Online Configurator,Manufacturer Finance,4.1,79309.3,False,0,4,4.7,1
2035,20250805,20250828,23,CAR00443,CUST003514,Asia Pacific,Australia,BMW Sydney,Julia Kim,Individual,Dealership Walk-in,Bank Loan,2.31,99546.11,False,0,4,4.3,1
2036,20230715,20230914,61,CAR01290,CUST002150,Middle East,Qatar,BMW Doha,Felix Dubois,Individual,Dealership Walk-in,Bank Loan,5.59,91860.93,False,0,4,4.5,1
2037,20251103,20260205,94,CAR01291,CUST003191,North America,Canada,BMW Vancouver,David Kim,Individual,Referral,Manufacturer Finance,0.0,72200.0,False,0,4,3.8,1
2038,20230320,20230405,16,CAR01132,CUST003844,North America,Canada,BMW Toronto,Julia Cohen,Individual,Online Configurator,Bank Loan,1.1,68933.3,False,0,4,4.5,1
2039,20220403,20220514,41,CAR00707,CUST003244,Europe,Germany,BMW Niederlassung München,Fatima Zhang,Certified Pre-Owned Trade-In,Dealership Walk-in,Lease,2.49,96242.37,True,32963,4,4.3,1
2040,20230707,20231027,112,CAR01292,CUST000936,Europe,Netherlands,BMW Amsterdam,Laura Silva,Individual,Online Configurator,Cash,3.58,123803.28,False,0,4,4.6,1
2041,20240527,20240613,17,CAR00295,CUST000872,North America,USA,BMW of Manhattan,Noah Andersson,Corporate Fleet,Referral,Lease,2.65,86544.15,False,0,4,4.7,1
2042,20260217,20260321,32,CAR01293,CUST003020,Middle East,Qatar,BMW Doha,Mia Müller,Certified Pre-Owned Trade-In,Referral,Lease,0.0,96400.0,True,7321,4,4.8,1
2043,20220423,20220711,79,CAR00161,CUST003415,North America,Canada,BMW Toronto,Anna Khan,Individual,Dealership Walk-in,Lease,2.99,126404.03,False,0,4,4.7,1
2044,20230314,20230702,110,CAR01294,CUST003141,Asia Pacific,South Korea,BMW Seoul Gangnam,Laura Nakamura,Individual,Auto Show Event,Lease,5.62,82393.74,False,0,4,5.0,1
2045,20250923,20251112,50,CAR00009,CUST001290,North America,USA,South Bay BMW,Elena Ivanov,Individual,Online Configurator,Lease,0.0,80000.0,False,0,4,5.0,1
2046,20250414,20250707,84,CAR00674,CUST003737,North America,USA,BMW of Austin,Sophie Park,Certified Pre-Owned Trade-In,Dealership Walk-in,Bank Loan,6.45,108892.2,True,14944,4,3.8,1
2047,20250128,20250328,59,CAR00907,CUST002770,North America,USA,BMW of Austin,Fatima Zhang,Individual,Online Configurator,Lease,3.2,120128.8,False,0,4,4.9,1
2048,20220804,20220826,22,CAR00672,CUST003156,North America,USA,Chicago M Motors,David Tanaka,Certified Pre-Owned Trade-In,Referral,Lease,0.15,123714.15,True,28797,4,4.0,1
2049,20260329,20260428,30,CAR01295,CUST000977,North America,USA,BMW of Austin,Fatima Rossi,Corporate Fleet,Online Configurator,Cash,3.21,142862.04,False,0,4,4.5,1
2050,20260425,20260721,87,CAR01296,CUST002463,North America,Canada,BMW Toronto,Anna Zhang,Individual,Online Configurator,Cash,0.0,128000.0,False,0,4,4.8,1
2051,20241001,20241228,88,CAR00575,CUST002224,North America,Canada,BMW Toronto,Nina Andersson,Individual,Auto Show Event,Lease,0.66,88511.94,False,0,4,4.8,1
2052,20221002,20230103,93,CAR01297,CUST001927,Asia Pacific,China,BMW Beijing Chaoyang,Anna Weber,Corporate Fleet,Online Configurator,Lease,4.5,79456.0,False,0,4,5.0,1
2053,20240516,20240622,37,CAR00069,CUST001813,North America,Canada,BMW Vancouver,Marco Müller,Individual,Dealership Walk-in,Lease,4.68,73491.72,False,0,4,5.0,1
2054,20240107,20240315,68,CAR00302,CUST001696,Asia Pacific,South Korea,BMW Seoul Gangnam,Tom Tanaka,Individual,Auto Show Event,Bank Loan,2.68,107635.92,False,0,4,5.0,1
2055,20240204,20240417,73,CAR01298,CUST003806,North America,USA,BMW of Miami,Karim Ivanov,Individual,Dealership Walk-in,Lease,5.44,115268.64,False,0,4,4.4,1
2056,20241022,20250130,100,CAR00462,CUST002354,Europe,Netherlands,BMW Amsterdam,Julia Nakamura,Corporate Fleet,Online Configurator,Lease,7.15,67873.35,False,0,4,4.4,1
2057,20221218,20230404,107,CAR00645,CUST002696,Asia Pacific,Japan,BMW Tokyo Minato,Lucas Kim,Lease Return Buyout,Referral,Bank Loan,3.47,114484.58,False,0,4,4.1,1
2058,20250814,20251116,94,CAR01299,CUST000890,Asia Pacific,China,BMW Shanghai Jing'an,Tom Andersson,Individual,Dealership Walk-in,Bank Loan,0.0,137600.0,False,0,4,5.0,1
2059,20260529,20260815,78,CAR01300,CUST000421,Europe,France,BMW Paris Champs-Élysées,Fatima Rossi,Individual,Dealership Walk-in,Lease,3.9,67942.7,False,0,4,5.0,1
2060,20221217,20230125,39,CAR01084,CUST001277,Middle East,Saudi Arabia,BMW Riyadh,Omar Schmidt,Individual,Online Configurator,Manufacturer Finance,0.78,148730.78,False,0,4,3.8,1
2061,20240705,20240819,45,CAR01301,CUST001286,Europe,Italy,BMW Roma,David Andersson,Individual,Referral,Manufacturer Finance,0.55,148478.85,False,0,4,4.7,1
2062,20250115,20250227,43,CAR00141,CUST003434,Rest of World,Brazil,BMW São Paulo,Emma Al-Farsi,Individual,Online Configurator,Bank Loan,5.27,76162.92,False,0,4,4.4,1
2063,20220804,20221011,68,CAR01302,CUST003777,North America,USA,BMW of Manhattan,Anna Zhang,Individual,Dealership Walk-in,Lease,3.51,171752.2,False,0,4,4.4,1
2064,20250809,20251119,102,CAR01064,CUST000348,Europe,Netherlands,BMW Amsterdam,Daniel Silva,Lease Return Buyout,Dealership Walk-in,Bank Loan,6.63,71614.79,False,0,4,4.7,1
2065,20230222,20230323,29,CAR01303,CUST000176,Asia Pacific,Australia,BMW Melbourne,Wei Kim,Individual,Dealership Walk-in,Bank Loan,3.95,68195.5,False,0,4,4.5,1
2066,20220701,20220915,76,CAR00311,CUST003532,Asia Pacific,Australia,BMW Sydney,Anna Khan,Corporate Fleet,Dealership Walk-in,Lease,0.0,97300.0,False,0,4,4.6,1
2067,20241007,20250113,98,CAR00163,CUST003752,Asia Pacific,South Korea,BMW Seoul Gangnam,Maria Zhang,Individual,Dealership Walk-in,Bank Loan,5.22,93073.96,False,0,4,3.9,1
2068,20251126,20260204,70,CAR01304,CUST002820,Middle East,Qatar,BMW Doha,Mia Müller,Individual,Dealership Walk-in,Bank Loan,0.0,97200.0,False,0,4,5.0,1
